# SITE INFORMATION #
description,state,latitude,longitude,timezone,install,horizontalDatum,verticalDatum,verticalAccuracy,elevationMethod,tzOffset,activeFlag,type,responsibility,agencyRegion,siteid,elevation
Ririe Dam and Lake near Ririe; ID,rir,Reservoir Elevation,2019-02-03 00:00:00,5088.53,Feet
Ririe Dam and Lake near Ririe; ID,rir,Reservoir Elevation,2019-02-02 00:00:00,5088.42,Feet
Ririe Dam and Lake near Ririe; ID,rir,Reservoir Elevation,2019-02-01 00:00:00,5088.35,Feet
Little Wood Dam and Reservoir near Carey; ID,wod,Reservoir Storage,2019-02-24 00:00:00,18938,Acre feet
Little Wood Dam and Reservoir near Carey; ID,wod,Reservoir Storage,2019-02-23 00:00:00,19180,Acre feet
Little Wood Dam and Reservoir near Carey; ID,wod,Reservoir Storage,2019-02-22 00:00:00,19505,Acre feet
Little Wood Dam and Reservoir near Carey; ID,wod,Reservoir Storage,2019-02-21 00:00:00,19795,Acre feet
Little Wood Dam and Reservoir near Carey; ID,wod,Reservoir Storage,2019-02-20 00:00:00,20146,Acre feet
Little Wood Dam and Reservoir near Carey; ID,wod,Reservoir Storage,2019-02-19 00:00:00,20473,Acre feet
Little Wood Dam and Reservoir near Carey; ID,wod,Reservoir Storage,2019-02-18 00:00:00,20809,Acre feet
Little Wood Dam and Reservoir near Carey; ID,wod,Reservoir Storage,2019-02-17 00:00:00,21039,Acre feet
Little Wood Dam and Reservoir near Carey; ID,wod,Reservoir Storage,2019-02-16 00:00:00,21374,Acre feet
Little Wood Dam and Reservoir near Carey; ID,wod,Reservoir Storage,2019-02-15 00:00:00,21703,Acre feet
Little Wood Dam and Reservoir near Carey; ID,wod,Reservoir Storage,2019-02-14 00:00:00,22021,Acre feet
Little Wood Dam and Reservoir near Carey; ID,wod,Reservoir Storage,2019-02-13 00:00:00,22309,Acre feet
Little Wood Dam and Reservoir near Carey; ID,wod,Reservoir Storage,2019-02-12 00:00:00,22363,Acre feet
Little Wood Dam and Reservoir near Carey; ID,wod,Reservoir Storage,2019-02-11 00:00:00,22249,Acre feet
Little Wood Dam and Reservoir near Carey; ID,wod,Reservoir Storage,2019-02-10 00:00:00,22164,Acre feet
Little Wood Dam and Reservoir near Carey; ID,wod,Reservoir Storage,2019-02-09 00:00:00,22051,Acre feet
Little Wood Dam and Reservoir near Carey; ID,wod,Reservoir Storage,2019-02-08 00:00:00,21908,Acre feet
Little Wood Dam and Reservoir near Carey; ID,wod,Reservoir Storage,2019-02-07 00:00:00,21849,Acre feet
Little Wood Dam and Reservoir near Carey; ID,wod,Reservoir Storage,2019-02-06 00:00:00,21766,Acre feet
Little Wood Dam and Reservoir near Carey; ID,wod,Reservoir Storage,2019-02-05 00:00:00,21698,Acre feet
Little Wood Dam and Reservoir near Carey; ID,wod,Reservoir Storage,2019-02-04 00:00:00,21576,Acre feet
Little Wood Dam and Reservoir near Carey; ID,wod,Reservoir Storage,2019-02-03 00:00:00,21451,Acre feet
Little Wood Dam and Reservoir near Carey; ID,wod,Reservoir Storage,2019-02-02 00:00:00,21311,Acre feet
Little Wood Dam and Reservoir near Carey; ID,wod,Reservoir Storage,2019-02-01 00:00:00,21184,Acre feet
Little Wood Dam and Reservoir near Carey; ID,wod,Reservoir Elevation,2019-02-24 00:00:00,5215.85,Feet
Little Wood Dam and Reservoir near Carey; ID,wod,Reservoir Elevation,2019-02-23 00:00:00,5216.38,Feet
Little Wood Dam and Reservoir near Carey; ID,wod,Reservoir Elevation,2019-02-22 00:00:00,5217.08,Feet
Little Wood Dam and Reservoir near Carey; ID,wod,Reservoir Elevation,2019-02-21 00:00:00,5217.71,Feet
Little Wood Dam and Reservoir near Carey; ID,wod,Reservoir Elevation,2019-02-20 00:00:00,5218.46,Feet
Little Wood Dam and Reservoir near Carey; ID,wod,Reservoir Elevation,2019-02-19 00:00:00,5219.15,Feet
Little Wood Dam and Reservoir near Carey; ID,wod,Reservoir Elevation,2019-02-18 00:00:00,5219.86,Feet
Little Wood Dam and Reservoir near Carey; ID,wod,Reservoir Elevation,2019-02-17 00:00:00,5220.34,Feet
Little Wood Dam and Reservoir near Carey; ID,wod,Reservoir Elevation,2019-02-16 00:00:00,5221.03,Feet
Little Wood Dam and Reservoir near Carey; ID,wod,Reservoir Elevation,2019-02-15 00:00:00,5221.71,Feet
Little Wood Dam and Reservoir near Carey; ID,wod,Reservoir Elevation,2019-02-14 00:00:00,5222.36,Feet
Little Wood Dam and Reservoir near Carey; ID,wod,Reservoir Elevation,2019-02-13 00:00:00,5222.94,Feet
Little Wood Dam and Reservoir near Carey; ID,wod,Reservoir Elevation,2019-02-12 00:00:00,5223.05,Feet
Little Wood Dam and Reservoir near Carey; ID,wod,Reservoir Elevation,2019-02-11 00:00:00,5222.82,Feet
Little Wood Dam and Reservoir near Carey; ID,wod,Reservoir Elevation,2019-02-10 00:00:00,5222.65,Feet
Little Wood Dam and Reservoir near Carey; ID,wod,Reservoir Elevation,2019-02-09 00:00:00,5222.42,Feet
Little Wood Dam and Reservoir near Carey; ID,wod,Reservoir Elevation,2019-02-08 00:00:00,5222.13,Feet
Little Wood Dam and Reservoir near Carey; ID,wod,Reservoir Elevation,2019-02-07 00:00:00,5222.01,Feet
Little Wood Dam and Reservoir near Carey; ID,wod,Reservoir Elevation,2019-02-06 00:00:00,5221.84,Feet
Little Wood Dam and Reservoir near Carey; ID,wod,Reservoir Elevation,2019-02-05 00:00:00,5221.7,Feet
Little Wood Dam and Reservoir near Carey; ID,wod,Reservoir Elevation,2019-02-04 00:00:00,5221.45,Feet
Little Wood Dam and Reservoir near Carey; ID,wod,Reservoir Elevation,2019-02-03 00:00:00,5221.19,Feet
Little Wood Dam and Reservoir near Carey; ID,wod,Reservoir Elevation,2019-02-02 00:00:00,5220.9,Feet
Little Wood Dam and Reservoir near Carey; ID,wod,Reservoir Elevation,2019-02-01 00:00:00,5220.64,Feet
Anderson Ranch Dam and Reservoir; ID,and,Reservoir Elevation,2019-02-24 00:00:00,4151.54,Feet
Anderson Ranch Dam and Reservoir; ID,and,Reservoir Elevation,2019-02-23 00:00:00,4151.5,Feet
Anderson Ranch Dam and Reservoir; ID,and,Reservoir Elevation,2019-02-22 00:00:00,4151.49,Feet
Anderson Ranch Dam and Reservoir; ID,and,Reservoir Elevation,2019-02-21 00:00:00,4151.52,Feet
Anderson Ranch Dam and Reservoir; ID,and,Reservoir Elevation,2019-02-20 00:00:00,4151.51,Feet
Anderson Ranch Dam and Reservoir; ID,and,Reservoir Elevation,2019-02-19 00:00:00,4151.53,Feet
Anderson Ranch Dam and Reservoir; ID,and,Reservoir Elevation,2019-02-18 00:00:00,4151.56,Feet
Anderson Ranch Dam and Reservoir; ID,and,Reservoir Elevation,2019-02-17 00:00:00,4151.57,Feet
Anderson Ranch Dam and Reservoir; ID,and,Reservoir Elevation,2019-02-16 00:00:00,4151.56,Feet
Anderson Ranch Dam and Reservoir; ID,and,Reservoir Elevation,2019-02-15 00:00:00,4151.58,Feet
Anderson Ranch Dam and Reservoir; ID,and,Reservoir Elevation,2019-02-14 00:00:00,4151.51,Feet
Anderson Ranch Dam and Reservoir; ID,and,Reservoir Elevation,2019-02-13 00:00:00,4151.46,Feet
Anderson Ranch Dam and Reservoir; ID,and,Reservoir Elevation,2019-02-12 00:00:00,4151.39,Feet
Anderson Ranch Dam and Reservoir; ID,and,Reservoir Elevation,2019-02-11 00:00:00,4151.34,Feet
Anderson Ranch Dam and Reservoir; ID,and,Reservoir Elevation,2019-02-10 00:00:00,4151.36,Feet
Anderson Ranch Dam and Reservoir; ID,and,Reservoir Elevation,2019-02-09 00:00:00,4151.32,Feet
Anderson Ranch Dam and Reservoir; ID,and,Reservoir Elevation,2019-02-08 00:00:00,4151.29,Feet
Anderson Ranch Dam and Reservoir; ID,and,Reservoir Elevation,2019-02-07 00:00:00,4151.34,Feet
Anderson Ranch Dam and Reservoir; ID,and,Reservoir Elevation,2019-02-06 00:00:00,4151.35,Feet
Anderson Ranch Dam and Reservoir; ID,and,Reservoir Elevation,2019-02-05 00:00:00,4151.38,Feet
Anderson Ranch Dam and Reservoir; ID,and,Reservoir Elevation,2019-02-04 00:00:00,4151.32,Feet
Anderson Ranch Dam and Reservoir; ID,and,Reservoir Elevation,2019-02-03 00:00:00,4151.31,Feet
Anderson Ranch Dam and Reservoir; ID,and,Reservoir Elevation,2019-02-02 00:00:00,4151.29,Feet
Anderson Ranch Dam and Reservoir; ID,and,Reservoir Elevation,2019-02-01 00:00:00,4151.23,Feet
Arrowrock Dam and Reservoir; ID,ark,Reservoir Elevation,2019-02-24 00:00:00,3187.77,Feet
Arrowrock Dam and Reservoir; ID,ark,Reservoir Elevation,2019-02-23 00:00:00,3188.38,Feet
Arrowrock Dam and Reservoir; ID,ark,Reservoir Elevation,2019-02-22 00:00:00,3189.01,Feet
Arrowrock Dam and Reservoir; ID,ark,Reservoir Elevation,2019-02-21 00:00:00,3189.32,Feet
Arrowrock Dam and Reservoir; ID,ark,Reservoir Elevation,2019-02-20 00:00:00,3189.28,Feet
Arrowrock Dam and Reservoir; ID,ark,Reservoir Elevation,2019-02-19 00:00:00,3189.16,Feet
Arrowrock Dam and Reservoir; ID,ark,Reservoir Elevation,2019-02-18 00:00:00,3188.83,Feet
Arrowrock Dam and Reservoir; ID,ark,Reservoir Elevation,2019-02-17 00:00:00,3188.48,Feet
Arrowrock Dam and Reservoir; ID,ark,Reservoir Elevation,2019-02-16 00:00:00,3188.09,Feet
Arrowrock Dam and Reservoir; ID,ark,Reservoir Elevation,2019-02-15 00:00:00,3187.62,Feet
Arrowrock Dam and Reservoir; ID,ark,Reservoir Elevation,2019-02-14 00:00:00,3187.09,Feet
Arrowrock Dam and Reservoir; ID,ark,Reservoir Elevation,2019-02-12 00:00:00,3186.02,Feet
Arrowrock Dam and Reservoir; ID,ark,Reservoir Elevation,2019-02-11 00:00:00,3185.62,Feet
Arrowrock Dam and Reservoir; ID,ark,Reservoir Elevation,2019-02-10 00:00:00,3185.21,Feet
Arrowrock Dam and Reservoir; ID,ark,Reservoir Elevation,2019-02-09 00:00:00,3184.78,Feet
Arrowrock Dam and Reservoir; ID,ark,Reservoir Elevation,2019-02-08 00:00:00,3184.29,Feet
Arrowrock Dam and Reservoir; ID,ark,Reservoir Elevation,2019-02-07 00:00:00,3183.97,Feet
Arrowrock Dam and Reservoir; ID,ark,Reservoir Elevation,2019-02-06 00:00:00,3183.61,Feet
Arrowrock Dam and Reservoir; ID,ark,Reservoir Elevation,2019-02-05 00:00:00,3183.17,Feet
Arrowrock Dam and Reservoir; ID,ark,Reservoir Elevation,2019-02-04 00:00:00,3182.63,Feet
Arrowrock Dam and Reservoir; ID,ark,Reservoir Elevation,2019-02-03 00:00:00,3181.8,Feet
Arrowrock Dam and Reservoir; ID,ark,Reservoir Elevation,2019-02-02 00:00:00,3180.96,Feet
Arrowrock Dam and Reservoir; ID,ark,Reservoir Elevation,2019-02-01 00:00:00,3180.5,Feet
Agency Valley (Beulah) Dam and Reservoir; OR,beu,Reservoir Elevation,2019-02-24 00:00:00,3310.84,Feet
Agency Valley (Beulah) Dam and Reservoir; OR,beu,Reservoir Elevation,2019-02-23 00:00:00,3310.65,Feet
Agency Valley (Beulah) Dam and Reservoir; OR,beu,Reservoir Elevation,2019-02-22 00:00:00,3310.55,Feet
Agency Valley (Beulah) Dam and Reservoir; OR,beu,Reservoir Elevation,2019-02-21 00:00:00,3310.47,Feet
Agency Valley (Beulah) Dam and Reservoir; OR,beu,Reservoir Elevation,2019-02-20 00:00:00,3310.37,Feet
Agency Valley (Beulah) Dam and Reservoir; OR,beu,Reservoir Elevation,2019-02-19 00:00:00,3310.2,Feet
Agency Valley (Beulah) Dam and Reservoir; OR,beu,Reservoir Elevation,2019-02-18 00:00:00,3310.08,Feet
Agency Valley (Beulah) Dam and Reservoir; OR,beu,Reservoir Elevation,2019-02-17 00:00:00,3309.99,Feet
Agency Valley (Beulah) Dam and Reservoir; OR,beu,Reservoir Elevation,2019-02-16 00:00:00,3309.86,Feet
Agency Valley (Beulah) Dam and Reservoir; OR,beu,Reservoir Elevation,2019-02-15 00:00:00,3309.69,Feet
Agency Valley (Beulah) Dam and Reservoir; OR,beu,Reservoir Elevation,2019-02-14 00:00:00,3309.49,Feet
Agency Valley (Beulah) Dam and Reservoir; OR,beu,Reservoir Elevation,2019-02-13 00:00:00,3309.24,Feet
Agency Valley (Beulah) Dam and Reservoir; OR,beu,Reservoir Elevation,2019-02-12 00:00:00,3309.07,Feet
Agency Valley (Beulah) Dam and Reservoir; OR,beu,Reservoir Elevation,2019-02-11 00:00:00,3308.95,Feet
Agency Valley (Beulah) Dam and Reservoir; OR,beu,Reservoir Elevation,2019-02-10 00:00:00,3308.82,Feet
Agency Valley (Beulah) Dam and Reservoir; OR,beu,Reservoir Elevation,2019-02-09 00:00:00,3308.71,Feet
Agency Valley (Beulah) Dam and Reservoir; OR,beu,Reservoir Elevation,2019-02-08 00:00:00,3308.56,Feet
Agency Valley (Beulah) Dam and Reservoir; OR,beu,Reservoir Elevation,2019-02-07 00:00:00,3308.49,Feet
Agency Valley (Beulah) Dam and Reservoir; OR,beu,Reservoir Elevation,2019-02-06 00:00:00,3308.43,Feet
Agency Valley (Beulah) Dam and Reservoir; OR,beu,Reservoir Elevation,2019-02-05 00:00:00,3308.31,Feet
Agency Valley (Beulah) Dam and Reservoir; OR,beu,Reservoir Elevation,2019-02-04 00:00:00,3308.17,Feet
Agency Valley (Beulah) Dam and Reservoir; OR,beu,Reservoir Elevation,2019-02-03 00:00:00,3307.97,Feet
Agency Valley (Beulah) Dam and Reservoir; OR,beu,Reservoir Elevation,2019-02-02 00:00:00,3307.7,Feet
Agency Valley (Beulah) Dam and Reservoir; OR,beu,Reservoir Elevation,2019-02-01 00:00:00,3307.48,Feet
Scoggins Dam & Henry Hagg Lake nr Forest Grove; OR,sco,Reservoir Elevation,2019-02-24 00:00:00,293.43,Feet
Scoggins Dam & Henry Hagg Lake nr Forest Grove; OR,sco,Reservoir Elevation,2019-02-23 00:00:00,293.09,Feet
Scoggins Dam & Henry Hagg Lake nr Forest Grove; OR,sco,Reservoir Elevation,2019-02-22 00:00:00,292.77,Feet
Scoggins Dam & Henry Hagg Lake nr Forest Grove; OR,sco,Reservoir Elevation,2019-02-21 00:00:00,292.44,Feet
Scoggins Dam & Henry Hagg Lake nr Forest Grove; OR,sco,Reservoir Elevation,2019-02-20 00:00:00,292.11,Feet
Scoggins Dam & Henry Hagg Lake nr Forest Grove; OR,sco,Reservoir Elevation,2019-02-19 00:00:00,291.72,Feet
Scoggins Dam & Henry Hagg Lake nr Forest Grove; OR,sco,Reservoir Elevation,2019-02-18 00:00:00,291.32,Feet
Scoggins Dam & Henry Hagg Lake nr Forest Grove; OR,sco,Reservoir Elevation,2019-02-17 00:00:00,290.89,Feet
Scoggins Dam & Henry Hagg Lake nr Forest Grove; OR,sco,Reservoir Elevation,2019-02-16 00:00:00,290.38,Feet
Scoggins Dam & Henry Hagg Lake nr Forest Grove; OR,sco,Reservoir Elevation,2019-02-15 00:00:00,289.74,Feet
Scoggins Dam & Henry Hagg Lake nr Forest Grove; OR,sco,Reservoir Elevation,2019-02-14 00:00:00,289.04,Feet
Scoggins Dam & Henry Hagg Lake nr Forest Grove; OR,sco,Reservoir Elevation,2019-02-13 00:00:00,288.27,Feet
Scoggins Dam & Henry Hagg Lake nr Forest Grove; OR,sco,Reservoir Elevation,2019-02-12 00:00:00,287.31,Feet
Scoggins Dam & Henry Hagg Lake nr Forest Grove; OR,sco,Reservoir Elevation,2019-02-11 00:00:00,285.13,Feet
Scoggins Dam & Henry Hagg Lake nr Forest Grove; OR,sco,Reservoir Elevation,2019-02-10 00:00:00,284.65,Feet
Scoggins Dam & Henry Hagg Lake nr Forest Grove; OR,sco,Reservoir Elevation,2019-02-09 00:00:00,284.53,Feet
Scoggins Dam & Henry Hagg Lake nr Forest Grove; OR,sco,Reservoir Elevation,2019-02-08 00:00:00,284.36,Feet
Scoggins Dam & Henry Hagg Lake nr Forest Grove; OR,sco,Reservoir Elevation,2019-02-07 00:00:00,284.24,Feet
Scoggins Dam & Henry Hagg Lake nr Forest Grove; OR,sco,Reservoir Elevation,2019-02-06 00:00:00,284.14,Feet
Scoggins Dam & Henry Hagg Lake nr Forest Grove; OR,sco,Reservoir Elevation,2019-02-05 00:00:00,284.03,Feet
Scoggins Dam & Henry Hagg Lake nr Forest Grove; OR,sco,Reservoir Elevation,2019-02-04 00:00:00,283.9,Feet
Scoggins Dam & Henry Hagg Lake nr Forest Grove; OR,sco,Reservoir Elevation,2019-02-03 00:00:00,283.76,Feet
Scoggins Dam & Henry Hagg Lake nr Forest Grove; OR,sco,Reservoir Elevation,2019-02-02 00:00:00,283.61,Feet
Scoggins Dam & Henry Hagg Lake nr Forest Grove; OR,sco,Reservoir Elevation,2019-02-01 00:00:00,283.43,Feet
Bully Creek Dam and Reservoir near Vale; OR,bul,Reservoir Elevation,2019-02-24 00:00:00,2494.73,Feet
Bully Creek Dam and Reservoir near Vale; OR,bul,Reservoir Elevation,2019-02-23 00:00:00,2494.36,Feet
Bully Creek Dam and Reservoir near Vale; OR,bul,Reservoir Elevation,2019-02-22 00:00:00,2493.95,Feet
Bully Creek Dam and Reservoir near Vale; OR,bul,Reservoir Elevation,2019-02-21 00:00:00,2493.52,Feet
Bully Creek Dam and Reservoir near Vale; OR,bul,Reservoir Elevation,2019-02-20 00:00:00,2493.01,Feet
Bully Creek Dam and Reservoir near Vale; OR,bul,Reservoir Elevation,2019-02-19 00:00:00,2492.37,Feet
Bully Creek Dam and Reservoir near Vale; OR,bul,Reservoir Elevation,2019-02-18 00:00:00,2491.62,Feet
Bully Creek Dam and Reservoir near Vale; OR,bul,Reservoir Elevation,2019-02-17 00:00:00,2490.87,Feet
Bully Creek Dam and Reservoir near Vale; OR,bul,Reservoir Elevation,2019-02-16 00:00:00,2490.11,Feet
Bully Creek Dam and Reservoir near Vale; OR,bul,Reservoir Elevation,2019-02-15 00:00:00,2489.38,Feet
Bully Creek Dam and Reservoir near Vale; OR,bul,Reservoir Elevation,2019-02-14 00:00:00,2488.8,Feet
Bully Creek Dam and Reservoir near Vale; OR,bul,Reservoir Elevation,2019-02-13 00:00:00,2488.22,Feet
Bully Creek Dam and Reservoir near Vale; OR,bul,Reservoir Elevation,2019-02-12 00:00:00,2487.89,Feet
Bully Creek Dam and Reservoir near Vale; OR,bul,Reservoir Elevation,2019-02-11 00:00:00,2487.59,Feet
Bully Creek Dam and Reservoir near Vale; OR,bul,Reservoir Elevation,2019-02-10 00:00:00,2487.23,Feet
Bully Creek Dam and Reservoir near Vale; OR,bul,Reservoir Elevation,2019-02-09 00:00:00,2486.85,Feet
Bully Creek Dam and Reservoir near Vale; OR,bul,Reservoir Elevation,2019-02-08 00:00:00,2486.49,Feet
Bully Creek Dam and Reservoir near Vale; OR,bul,Reservoir Elevation,2019-02-07 00:00:00,2486.03,Feet
Bully Creek Dam and Reservoir near Vale; OR,bul,Reservoir Elevation,2019-02-06 00:00:00,2485.44,Feet
Bully Creek Dam and Reservoir near Vale; OR,bul,Reservoir Elevation,2019-02-05 00:00:00,2484.81,Feet
Bully Creek Dam and Reservoir near Vale; OR,bul,Reservoir Elevation,2019-02-04 00:00:00,2484.21,Feet
Bully Creek Dam and Reservoir near Vale; OR,bul,Reservoir Elevation,2019-02-03 00:00:00,2483.77,Feet
Bully Creek Dam and Reservoir near Vale; OR,bul,Reservoir Elevation,2019-02-02 00:00:00,2483.47,Feet
Bully Creek Dam and Reservoir near Vale; OR,bul,Reservoir Elevation,2019-02-01 00:00:00,2483.17,Feet

